"Date" "Nationality" "Cause of death" "Mountain"
"1997-09-08" "South Korea" "Avalanche" "Mount Everest"
"1998-05-24" "United States" "100m fall" "Mount Everest"
"1998-05-24" "United States" "Exposure and/or cerebral oedema" "Mount Everest"
"1998-05-25" "United Kingdom" "Exhaustion" "Mount Everest"
"1998-05-26" "New Zealand" "Exhaustion" "Mount Everest"
"1998-07-24" "India" "Died due to fall" "Mount Everest"
"1999-05-08" "Ukraine" "Exposure" "Mount Everest"
"1999-05-13" "United Kingdom" "Disappearance (likely accidental death during descent)" "Mount Everest"
"1999-05-18" "Poland" "Fall" "Mount Everest"
"1999-05-18" "Belgium" "Fall" "Mount Everest"
"2000-05-20" "Denmark" "Fall" "Mount Everest"
"2000-05-21" "China" "Disappeared after reaching the north summit likely accidental death during descent" "Mount Everest"
"2001-04-29" "Nepal" "Fall" "Mount Everest"
"2001-05-23" "Austria" "Fall" "Mount Everest"
"2001-05-24" "Australia" "Cerebral oedema" "Mount Everest"
"2001-05-24" "Russia" "Pre-existing illness exacerbated by freezing conditions  altitude"
"2001-10-17" "Hungary" "Fall" "Mount Everest"
"2002-04-30" "United Kingdom" "Fall into a crevasse" "Mount Everest"
"2002-05-17" "FR Yugoslavia" "Exact cause and date of death unknown" "Mount Everest"
"2002-09-08" "France" "Snowboarding accident" "Mount Everest"
"2003-05-27" "Nepal" "Fall into a crevasse" "Mount Everest"
"2003-05-25" "Poland" "Fall" "Mount Everest"
"2003-05-08" "France" "Sickness in tent" "Mount Everest"
"2003-05-24" "Nepal" "Altitude sickness" "Mount Everest"
"2004-05-18" "South Korea" "Exposure" "Mount Everest"
"2004-05-18" "South Korea" "Exposure" "Mount Everest"
"2004-05-18" "South Korea" "Exposure" "Mount Everest"
"2004-05-18" "United States Bolivia" "Exposure" "Mount Everest"
"2004-05-20" "Bulgaria" "Exposure" "Mount Everest"
"2004-05-20" "Japan" "Exposure" "Mount Everest"
"2004-05-23" "Bulgaria" "Exposure" "Mount Everest"
"2005-04-28" "Canada" "Heart attack" "Mount Everest"
"2005-05-02" "United States" "Fall into a crevasse" "Mount Everest"
"2005-05-21" "Slovenia" "Oxygen problems which resulted in fall" "Mount Everest"
"2005-05-30" "India" "Exposure" "Mount Everest"
"2005-06-04" "Germany" "Exposure" "Mount Everest"
"2005-06-05" "United Kingdom" "Organ failure due to freezing conditions" "Mount Everest"
"2006-04-07" "Nepal" "Altitude" "Mount Everest"
"2006-04-21" "Nepal" "Avalanche" "Mount Everest"
"2006-04-21" "Nepal" "Avalanche" "Mount Everest"
"2006-04-21" "Nepal" "Avalanche" "Mount Everest"
"2006-05-17" "France" "Exhaustion" "Mount Everest"
"2006-05-14" "India" "Fall" "Mount Everest"
"2006-05-15" "United Kingdom" "Exposure and/or exhaustion" "Mount Everest"
"2006-05-16" "Sweden" "Fall" "Mount Everest"
"2006-05-19" "Brazil" "Exposure and/or exhaustion" "Mount Everest"
"2006-05-22" "Russia" "Altitude sickness" "Mount Everest"
"2006-05-25" "Germany" "Altitude sickness" "Mount Everest"
"2007-04-26" "Nepal" "" "Mount Everest"
"2007-05-17" "Japan" "" "Mount Everest"
"2007-05-17" "Czech Republic" "" "Mount Everest"
"2007-05-16" "Japan" "Altitude sickness" "Mount Everest"
"2007-05-17" "Italy" "Disappearance" "Mount Everest"
"2007-05-17" "South Korea" "" "Mount Everest"
"2007-05-17" "South Korea" "Avalanche" "Mount Everest"
"2008-05-22" "Switzerland" "Exhaustion" "Mount Everest"
"2009-05-07" "Nepal" "Avalanche" "Mount Everest"
"2009-05-18" "Czech Republic" "Heart attack" "Mount Everest"
"2009-05-19" "China" "Altitude sickness" "Mount Everest"
"2009-05-21" "Canada" "Hypothermia and lack of oxygen" "Mount Everest"
"2010-04-26" "Hungary" "Avalanche crevasse fall" "Mount Everest"
"2010-05-19" "Denmark" "HACE" "Mount Everest"
"2010-05-26" "United Kingdom" "Exhaustion" "Mount Everest"
"2011-05-01" "United States" "Heart attack" "Mount Everest"
"2011-05-09" "Nepal" "Altitude sickness" "Mount Everest"
"2011-05-12" "Japan" "Altitude sickness" "Mount Everest"
"2011-05-21" "Ireland" "Altitude sickness" "Mount Everest"
"2011-09-15" "Japan" "Cerebral apoplexy" "Mount Everest"
"2012-04-05" "Nepal" "Stroke (CVA)" "Mount Everest"
"2012-04-19" "Nepal" "Altitude sickness" "Mount Everest"
"2012-04-20" "India" "Stroke" "Mount Everest"
"2012-04-21" "Nepal" "Fall into a crevasse" "Mount Everest"
"2012-05-19" "Canada" "Exhaustion" "Mount Everest"
"2012-05-19" "Germany" "Cerebral oedema" "Mount Everest"
"2012-05-19" "South Korea" "Fall" "Mount Everest"
"2012-05-20" "China" "Suspected altitude sickness" "Mount Everest"
"2012-05-20" "Spain" "Exhaustion" "Mount Everest"
"2012-05-20" "Czech" "Disappearance (likely accidental death during descent)" "Mount Everest"
"2012-05-20" "Germany" "Exhaustion and related complications after breaking leg at Second Step" "Mount Everest"
"2013-04-07" "Nepal" "Falling into a crevasse" "Mount Everest"
"2013-05-05" "Nepal" "Suspected cardiac arrest" "Mount Everest"
"2013-05-05" "Russia" "Suspected cardiac arrest" "Mount Everest"
"2013-05-07" "Nepal" "Fall" "Mount Everest"
"2013-05-15" "Russia" "Fall" "Mount Everest"
"2013-05-17" "Nepal" "" "Mount Everest"
"2013-05-21" "South Korea" "Suspected altitude sickness" "Mount Everest"
"2013-05-21" "Bangladesh" "Suspected altitude sickness" "Mount Everest"
"2013-05-22" "Nepal" "Suspected altitude sickness" "Mount Everest"
"2014-04-02" "Nepal" "HAPE" "Mount Everest"
"2014-04-18" "Nepal" "2014 Mount Everest Avalanche" "Mount Everest"
"2014-04-18" "Nepal" "2014 Mount Everest Avalanche" "Mount Everest"
"2014-04-18" "Nepal" "2014 Mount Everest Avalanche" "Mount Everest"
"2014-04-18" "Nepal" "2014 Mount Everest Avalanche" "Mount Everest"
"2014-04-18" "Nepal" "2014 Mount Everest Avalanche" "Mount Everest"
"2014-04-18" "Nepal" "2014 Mount Everest Avalanche" "Mount Everest"
"2014-04-18" "Nepal" "2014 Mount Everest Avalanche" "Mount Everest"
"2014-04-18" "Nepal" "2014 Mount Everest Avalanche" "Mount Everest"
"2014-04-18" "Nepal" "2014 Mount Everest Avalanche" "Mount Everest"
"2014-04-18" "Nepal" "2014 Mount Everest Avalanche" "Mount Everest"
"2014-04-18" "Nepal" "2014 Mount Everest Avalanche" "Mount Everest"
"2014-04-18" "Nepal" "2014 Mount Everest Avalanche" "Mount Everest"
"2014-04-18" "Nepal" "2014 Mount Everest Avalanche" "Mount Everest"
"2014-04-18" "Nepal" "2014 Mount Everest Avalanche" "Mount Everest"
"2014-04-18" "Nepal" "2014 Mount Everest Avalanche" "Mount Everest"
"2015-04-25" "United States" "Base Camp avalanche following the April 2015 Nepal earthquake" "Mount Everest"
"2015-04-25" "United States" "Base Camp avalanche following the April 2015 Nepal earthquake" "Mount Everest"
"2015-04-25" "United States" "Base Camp avalanche following the April 2015 Nepal earthquake" "Mount Everest"
"2015-04-25" "Nepal" "Base Camp avalanche following the April 2015 Nepal earthquake" "Mount Everest"
"2015-04-25" "Nepal" "Base Camp avalanche following the April 2015 Nepal earthquake" "Mount Everest"
"2015-04-25" "Nepal" "Base Camp avalanche following the April 2015 Nepal earthquake" "Mount Everest"
"2015-04-25" "Nepal" "Base Camp avalanche following the April 2015 Nepal earthquake" "Mount Everest"
"2015-04-25" "Nepal" "Base Camp avalanche following the April 2015 Nepal earthquake" "Mount Everest"
"2015-04-25" "Nepal" "Base Camp avalanche following the April 2015 Nepal earthquake" "Mount Everest"
"2015-04-25" "Nepal" "Base Camp avalanche following the April 2015 Nepal earthquake" "Mount Everest"
"2015-04-25" "Nepal" "Base Camp avalanche following the April 2015 Nepal earthquake" "Mount Everest"
"2015-04-25" "Australia  India" "Base Camp avalanche following the April 2015 Nepal earthquake" "Mount Everest"
"2015-04-25" "Nepal" "Base Camp avalanche following the April 2015 Nepal earthquake" "Mount Everest"
"2015-04-25" "United States  Vietnam" "Base Camp avalanche following the April 2015 Nepal earthquake" "Mount Everest"
"2015-04-25" "Nepal" "Base Camp avalanche following the April 2015 Nepal earthquake" "Mount Everest"
"2015-04-25" "" "Base Camp avalanche following the April 2015 Nepal earthquake" "Mount Everest"
"2015-05-01" "Nepal" "Died in Kathmandu due to injuries sustained in the Base Camp avalanche following the April 2015 Nepal earthquake" "Mount Everest"
"2016-05-11" "Canada" "Cardiac event" "Mount Everest"
"2016-05-19" "Nepal" "Fall" "Mount Everest"
"2016-05-21" "Netherlands" "Altitude sickness" "Mount Everest"
"2016-05-22" "Australia  South Africa" "Snow blindness  stroke"
"2016-05-22" "India" "Altitude sickness" "Mount Everest"
"2016-05-22" "India" "Exposure" "Mount Everest"
"2016-05-22" "India" "Exposure" "Mount Everest"
"2017-05-05" "Nepal" "Heart Attack" "Mount Everest"
"2017-05-20" "United States" "Altitude sickness" "Mount Everest"
"2017-05-21" "Slovakia" "Altitude sickness" "Mount Everest"
"2017-05-21" "Australia" "Altitude sickness" "Mount Everest"
"2017-05-21" "India" "Fall into a 200m crevasse" "Mount Everest"
"2018-05-14" "Nepal" "Disappearance (reportedly suffered from snow blindness)" "Mount Everest"
"2018-05-18" "Nepal" "Stroke" "Mount Everest"
"2018-05-20" "North Macedonia" "Cardiac arrest" "Mount Everest"
"2018-05-21" "Japan" "Hypothermia  had previously reported ""persistent cough and pain"" during attempt"
"2018-05-21" "Nepal" "Fall into a crevasse  was rescued but died of head injury"
"2019-05-16" "Ireland" "Presumed dead after fall" "Mount Everest"
"2019-05-17" "India" "Altitude sickness" "Mount Everest"
"2019-05-22" "United States" "Altitude sickness" "Mount Everest"
"2019-05-23" "India" "Exhaustion on descent" "Mount Everest"
"2019-05-23" "Austria" "Exhaustion on descent" "Mount Everest"
"2019-05-23" "India" "Exhaustion on descent" "Mount Everest"
"2019-05-23" "India" "Exhaustion on descent" "Mount Everest"
"2019-05-24" "Ireland" "Altitude sickness" "Mount Everest"
"2019-05-24" "Nepal" "Exhaustion and altitude sickness" "Mount Everest"
"2019-05-25" "United Kingdom" "Exhaustion during descent" "Mount Everest"
"2019-05-27" "United States" "Cardiac event during descent" "Mount Everest"
"2021-05-12" "United States" "Exhaustion  snow blindness"
"2021-05-12" "Switzerland" "Exhaustion" "Mount Everest"
"2021-05-18" "Nepal" "Fall into a crevasse" "Mount Everest"
"2021-05-23" "Nepal" "Fall into a crevasse" "Mount Everest"
"2022-04-14" "Nepal" "Exhaustion and collapse" "Mount Everest"
"2022-05-07" "Russia" "Altitude sickness at Camp II  returned to Camp I"
"2022-05-12" "Nepal" "Altitude sickness and excessive bleeding" "Mount Everest"
"2023-04-12" "Nepal" "Serac Collapse" "Mount Everest"
"2023-04-12" "Nepal" "Serac Collapse" "Mount Everest"
"2023-04-12" "Nepal" "Serac Collapse" "Mount Everest"
"2023-05-01" "United States" "Illness" "Mount Everest"
"2023-05-16" "Nepal" "Illness" "Mount Everest"
"2023-05-17" "Moldova" "Illness" "Mount Everest"
"2023-05-18" "India" "Illness" "Mount Everest"
"2023-05-18" "China" "Fall" "Mount Everest"
"2023-05-19" "Malaysia" "Illness" "Mount Everest"
"2023-05-19" "Singapore" "High Altitude Cerebral Edema (HACE)" "Mount Everest"
"2023-05-20" "Malaysia" "Disappeared[246]" "Mount Everest"
"2023-05-21" "Australia" "Illness" "Mount Everest"
"2023-05-21" "Nepal" "Fall" "Mount Everest"
"2023-05-25" "Hungary" "Disappeared (reportedly suffered from HACE)" "Mount Everest"
"2023-05-25" "Nepal" "Disappeared" "Mount Everest"
"2023-05-26" "Canada" "Respiratory Event" "Mount Everest"
"2023-06-03" "Nepal" "Suffered from HAPE  later died in hospital due to cardiopulmonary arrest"
